start;open;high;low;close;volume;end;quote asset volume;number trades;taker buy base asset volume;taker buy quote asset volume
1639512000000;46844.15;47885.32;46825.33;47774.58;17588.024;1639515599999;835056505.46095;185677;9988.316;474058822.88059
1639515600000;47774.58;48657.92;47727.84;48280.22;19872.079;1639519199999;959076378.31170;239882;10771.222;519820318.51488
1639519200000;48280.22;48458.05;47994.86;48251.94;9744.152;1639522799999;469988929.53928;131283;5056.654;243997568.58135
1639522800000;48251.94;48435.60;48127.71;48324.04;6410.891;1639526399999;309441122.32620;87131;3291.552;158894653.67470
1639526400000;48324.00;48784.23;48058.00;48135.63;13212.579;1639529999999;638999336.35872;151397;6313.114;305438189.06746
1639530000000;48135.62;48166.05;47950.00;48063.52;5176.374;1639533599999;248812750.09070;84820;2543.164;122258068.18036
1639533600000;48062.37;48084.40;47830.00;47987.99;5392.744;1639537199999;258418709.17978;75025;2726.881;130677604.59342
1639537200000;47988.00;48290.00;47928.00;48250.16;5524.257;1639540799999;265604798.86938;77261;3222.921;154952481.88248
1639540800000;48250.17;48431.21;48062.00;48216.16;7005.615;1639544399999;338056483.63683;106551;3447.885;166397972.91653
1639544400000;48217.02;48309.24;48034.35;48109.13;4767.207;1639547999999;229517276.36388;74084;2273.854;109486058.49102
1639548000000;48111.31;48312.70;48000.00;48050.10;4735.021;1639551599999;227965641.35840;73332;2283.461;109955127.02050
1639551600000;48050.09;48339.00;47913.77;48200.00;7363.308;1639555199999;354586471.29914;92068;3919.207;188738093.95180
1639555200000;48199.99;48763.23;48199.99;48565.79;12017.548;1639558799999;583144207.03467;150380;6059.356;293984418.30645
1639558800000;48560.44;48587.99;48380.00;48491.41;5609.331;1639562399999;271894673.95769;85519;2816.539;136530489.21496
1639562400000;48491.41;48598.86;48200.00;48247.31;7761.334;1639565999999;375317711.62707;102668;3738.401;180801755.28284
1639566000000;48247.64;48354.96;48069.85;48135.18;6888.926;1639569599999;332052328.89178;107927;3483.479;167942499.00492
1639569600000;48135.19;48300.00;47506.24;47592.53;17295.980;1639573199999;828493190.29881;204966;7496.979;359228862.75722
1639573200000;47592.41;47798.91;47416.66;47647.58;12736.306;1639576799999;606616891.10590;166372;6694.269;318921551.33003
1639576800000;47647.59;47759.98;47200.00;47364.74;12627.077;1639580399999;599113057.76765;158412;6096.648;289311785.27278
1639580400000;47364.77;47479.83;46545.21;46622.38;27534.434;1639583999999;1293545338.01244;297555;12786.322;600957343.82072
1639584000000;46621.85;47035.07;46518.73;46986.62;16698.741;1639587599999;781763957.12735;201213;8922.366;417803999.22135
1639587600000;46986.61;47370.10;46846.06;47075.93;12613.940;1639591199999;594022341.65717;153300;6849.848;322647150.92683
1639591200000;47075.94;48240.00;47013.06;47819.72;24289.817;1639594799999;1156961263.91828;267454;12843.933;611728677.33114
1639594800000;47819.95;49256.03;47193.11;48659.07;78847.258;1639598399999;3820851906.03174;797921;39450.230;1912104405.37669
1639598400000;48656.02;49479.75;48520.00;49191.28;31232.934;1639601999999;1533920636.94560;349287;16103.308;791025932.01355
1639602000000;49191.29;49336.52;48899.60;49154.30;10775.061;1639605599999;529095692.47348;142586;5401.942;265308365.69755
1639605600000;49154.31;49220.00;48654.93;48748.27;8472.817;1639609199999;414075303.21993;111259;4192.793;204908497.07039
1639609200000;48748.27;48953.97;48700.00;48870.48;6661.282;1639612799999;325344034.16567;89963;3545.568;173175134.15676
1639612800000;48870.48;49270.00;48733.00;49047.79;10356.247;1639616399999;507336797.87175;112665;5220.978;255856734.58761
1639616400000;49046.94;49134.06;48826.26;49032.27;5113.113;1639619999999;250299468.32732;65461;2412.132;118090576.68859
1639620000000;49032.26;49069.17;48858.23;49008.45;3568.714;1639623599999;174795614.63984;52329;1765.376;86477247.69286
1639623600000;49008.44;49055.53;48710.00;48821.44;5545.199;1639627199999;270973656.92098;69659;2417.976;118138848.79918
1639627200000;48822.43;48893.79;48575.39;48746.61;5958.059;1639630799999;290219725.25273;76393;2921.719;142327172.93662
1639630800000;48746.61;48810.00;48503.13;48520.01;4272.429;1639634399999;207942367.62904;63099;2203.840;107276667.71164
1639634400000;48520.01;48924.10;48508.00;48885.88;5515.318;1639637999999;268738342.75413;79802;3072.328;149690116.70076
1639638000000;48885.88;49028.38;48677.47;48718.17;6145.341;1639641599999;300403429.93863;87947;3042.603;148754980.87303
1639641600000;48718.16;48927.36;48610.00;48766.00;5431.161;1639645199999;264841958.22541;73289;2810.280;137049659.34590
1639645200000;48765.99;48979.00;48732.41;48954.59;3888.261;1639648799999;190008687.49157;63909;2129.211;104054691.21812
1639648800000;48954.60;49243.58;48908.97;49137.99;7813.263;1639652399999;383647167.21123;108062;4173.352;204923594.70891
1639652400000;49138.00;49439.79;48851.11;49198.04;11822.477;1639655999999;580800570.40987;145133;5782.899;284132038.87923
1639656000000;49198.05;49210.03;48620.76;48685.12;13852.931;1639659599999;677132008.88758;164503;6280.655;307057549.78531
1639659600000;48685.12;49282.58;48400.00;49006.71;18327.482;1639663199999;893050595.54581;211370;9589.077;467396792.06036
1639663200000;49006.71;49014.66;48511.32;48542.14;12188.202;1639666799999;593610068.21516;148946;6006.099;292542374.18535
1639666800000;48542.44;48730.44;48244.05;48584.85;15439.190;1639670399999;748331117.61443;181087;7579.345;367460705.68856
1639670400000;48584.84;48700.00;48301.10;48503.17;10308.925;1639673999999;499663741.88763;135585;5132.808;248812569.06144
1639674000000;48505.67;48514.36;48066.00;48093.89;11985.429;1639677599999;577777496.05654;143216;5922.701;285541155.27811
1639677600000;48093.90;48320.00;47855.00;47996.20;10596.600;1639681199999;509289902.78390;127207;5409.065;260031206.72029
1639681200000;47994.29;48126.32;47667.52;47874.00;9823.193;1639684799999;470028955.88090;133796;4713.040;225571622.09438
1639684800000;47874.00;48400.75;47838.11;47934.61;13018.438;1639688399999;626542531.49784;147359;6761.145;325412804.37572
1639688400000;47935.26;48165.30;47896.63;48089.91;4539.004;1639691999999;218154475.97357;66161;2426.528;116627271.87367
1639692000000;48089.92;48160.00;47500.00;47815.48;11484.552;1639695599999;548745955.89972;139299;5068.875;242185920.67569
